time,original_signal,deconvolved_signal
528,0.9976334,0.9931473002939086
529,0.99768382,0.9931832649175025
530,0.99773359,0.9931495278612786
531,0.99778271,0.9931870438835713
532,0.99783117,0.9931522491756634
533,0.99787897,0.9931912296709543
534,0.99792612,0.993155162578617
535,0.99797267,0.9931957186041189
536,0.99801862,0.9931584670990106
537,0.99806398,0.9932008066439786
538,0.99810869,0.9931621470530813
539,0.99815279,0.9932060862505934
540,0.99819636,0.9931659108368507
541,0.99823934,0.9932118730991992
542,0.99828172,0.9931700226153697
543,0.99832356,0.9932179034002945
544,0.99836487,0.9931743557167434
545,0.99840564,0.9932244798681027
546,0.99844581,0.9931789277974016
547,0.99848551,0.9932312557656403
548,0.99852461,0.9931836062947254
549,0.99856329,0.9932383913282431
550,0.99860138,0.9931885356037106
551,0.99863899,0.993245869632141
552,0.99867612,0.9931935085532173
553,0.99871272,0.9932537447988404
554,0.99874884,0.9931985177508788
555,0.99878448,0.9932618547469908
556,0.99881971,0.9932036892382794
557,0.9988544,0.9932705088054828
558,0.99888867,0.9932088559547977
559,0.99892247,0.9932794448726631
560,0.99895585,0.9932140781472697
561,0.99898875,0.9932888209041931
562,0.99902123,0.9932191859107887
563,0.9990533,0.9932985974728965
564,0.99908489,0.993224231149452
565,0.99911612,0.9933087681197365
566,0.99914688,0.9932290954851679
567,0.99917728,0.9933194530849188
568,0.99920726,0.9932337510813339
569,0.99923682,0.9933307356802443
570,0.99926603,0.9932380119936242
571,0.99929482,0.9933427123322739
572,0.99932325,0.9932418546226991
573,0.99935132,0.9933554937358509
574,0.99937898,0.993245160787438
575,0.99940628,0.9933691408082272
576,0.99943328,0.9932497935690032
577,0.99945986,0.9933954752282393
578,0.99948609,0.9932767768728324
579,0.99951196,0.9934504840672261
580,0.99953753,0.9933244223929765
581,0.99956274,0.9935233479015629
582,0.9995876,0.9933805526689815
583,0.99961215,0.9936057886769003
584,0.99963635,0.9934375088341251
585,0.99966025,0.9936942806904009
586,0.99968386,0.9934901827545031
587,0.99970716,0.9937886066033356
588,0.99973011,0.9935338797841942
589,0.99975276,0.993891126354383
590,0.99977511,0.9935619809972078
591,0.99979717,0.9940095771497188
592,0.99981898,0.9935623514771722
593,0.99984044,0.9941629148829065
594,0.99986166,0.9935036208135011
595,0.99988258,0.9944058085625639
596,0.9999032,0.9932815354617536
597,0.99992359,0.9949599052973888
598,0.99994367,0.9923611347622381
599,0.99996346,0.9968861415135303
600,0.92862928,0.8933334871958254
601,0.81011814,0.6232018709738671
602,0.71242952,0.3676755671864325
603,0.63179773,0.1956151908685102
604,0.56513947,0.07731849541850114
605,0.50993031,0.007249962858706341
606,0.46410331,-0.0006537764715980453
607,0.42596599,0.00016477720532077458
608,0.39413267,-3.7446239302918614e-05
609,0.36746871,-1.0808871000487367e-05
610,0.34504497,3.269933176528639e-05
611,0.32610074,-4.351797329890891e-05
612,0.310013,4.897931456448153e-05
613,0.29627162,-5.15997249332448e-05
614,0.28445885,5.262027133289849e-05
615,0.27423248,-5.2704913413587445e-05
616,0.26531234,5.223078139446595e-05
617,0.25746891,-5.14218790502999e-05
618,0.25051415,5.041577758066752e-05
619,0.24429403,-4.9299060099751093e-05
620,0.23868236,4.8127148962256194e-05
621,0.23357572,-4.693587297951278e-05
622,0.22888935,4.57484550334281e-05
623,0.22455375,-4.457985813464424e-05
624,0.22051194,4.343955569061109e-05
625,0.2167172,-4.233333434467568e-05
626,0.21313117,4.1264487930751186e-05
627,0.20972236,-4.023461989650438e-05
628,0.2064649,3.9244189199829786e-05
629,0.20333757,-3.8292885371996975e-05
630,0.20032282,3.737988818354173e-05
631,0.19740631,-3.650404839896737e-05
632,0.19457614,3.566401398289069e-05
633,0.19182254,-3.4858318264582526e-05
634,0.1891374,3.4085441361279816e-05
635,0.18651401,-3.334385269590712e-05
636,0.18399787,3.263204007758229e-05
637,0.18148123,-3.194852921234315e-05
638,0.17901236,3.129189637792251e-05
639,0.176588,-3.0660776226549543e-05
640,0.17420544,3.005386611692984e-05
641,0.17186233,-2.9469927999135356e-05
642,0.16955675,2.890778857505439e-05
643,0.16728702,-2.836633827818484e-05
644,0.1650517,2.7844529449131035e-05
645,0.16284955,-2.7341373994772768e-05
646,0.16067947,2.6855940726610094e-05
647,0.15854052,-2.6387352530283204e-05
648,0.15643185,2.5934783462465327e-05
649,0.15435272,-2.549745585819589e-05
650,0.15230243,2.5074637487875863e-05
651,0.15028037,-2.4665638810972726e-05
652,0.14828597,2.426981033492363e-05
653,0.1463187,-2.388654010813222e-05
