A0,A#0,B0,C0,C#0,D0,D#0,E0,F0,F#0,G0,G#0,A1,A#1,B1,C1,C#1,D1,D#1,E1,F1,F#1,G1,G#1,A2,A#2,B2,C2,C#2,D2,D#2,E2,F2,F#2,G2,G#2,A3,A#3,B3,C3,C#3,D3,D#3,E3,F3,F#3,G3,G#3,A4,A#4,B4,C4,C#4,D4,D#4,E4,F4,F#4,G4,G#4,A5,A#5,B5,C5,C#5,D5,D#5,E5,F5,F#5,G5,G#5,A6,A#6,B6,C6,C#6,D6,D#6,E6,F6,F#6,G6,G#6,A7,A#7
284.70752,97.971855,700.03381,316.77054,207.70416,215.10815,161.89453,236.27203,338.77582,338.83643,362.59106,228.11589,306.92145,500.8519,926.68237,297.92462,253.23241,581.3158,366.03513,531.22388,505.39835,267.67343,224.46349,248.7885,185.14238,280.00958,279.29944,91.919853,176.98979,229.63811,250.78966,173.29636,152.35484,192.98392,120.79634,97.031403,122.41638,128.97893,102.31123,99.472847,103.80006,106.91341,97.324272,79.173599,95.194839,86.813545,76.139542,74.810257,87.753082,77.797409,85.021278,70.684959,64.572342,69.904999,61.960846,59.866879,61.033615,51.564129,50.4132,44.448925,42.883286,36.567207,38.429058,35.504375,36.102989,33.800282,29.372072,31.669067,33.361145,32.709591,34.122646,29.722614,32.325352,30.97047,29.104975,31.50956,28.105469,27.716866,26.529343,29.001312,27.108732,24.944101,26.614317,26.020647,23.814035,24.521334
162.82642,507.06113,749.85236,268.40384,141.4342,198.90303,255.21069,225.21095,442.51205,471.42435,429.80951,330.71115,572.51019,646.35052,689.17096,182.44205,311.42151,448.63528,340.07849,342.80984,287.70572,298.17523,369.78867,246.90276,251.75931,279.78857,435.33746,148.91592,143.85626,165.93575,318.62668,221.92657,137.17108,202.50636,132.36891,118.06391,133.44814,127.5608,114.3157,127.45256,117.06171,110.31369,105.60262,89.974907,92.844299,86.492859,76.488464,98.564316,75.715981,77.295799,63.002026,64.296471,74.9729,69.351219,58.949585,61.767002,59.917431,48.88166,44.791885,48.853653,48.724312,41.401875,38.798645,38.450085,36.178703,36.870003,35.019032,30.81941,36.502968,32.398449,31.377611,30.073505,29.953339,30.377514,29.563904,30.014475,29.948433,26.665089,26.619749,27.075706,28.6346,28.023777,24.403036,24.088774,23.35623,24.626339
176.2216,342.61694,896.73767,292.86694,283.87054,266.95151,179.50334,160.58754,314.8913,319.57663,478.85251,417.48709,287.78162,676.76416,571.75482,191.67174,279.57321,269.15784,400.70834,349.57703,371.10022,304.31012,186.81117,191.30902,210.65485,311.11154,354.96872,203.80107,171.64331,186.13963,244.43054,125.26049,147.62117,208.95216,129.50333,71.558548,96.506004,152.37692,126.02324,149.43619,102.54037,97.718292,92.030327,89.532753,86.728691,96.062546,82.288879,99.725998,90.397507,75.24707,68.396225,85.600334,91.497635,64.423073,55.920494,64.919678,58.374626,58.615948,52.998234,50.028645,49.726086,46.942631,39.733299,35.49482,38.023487,33.592716,36.112865,37.824356,35.822399,34.182186,34.491524,31.229193,29.757462,32.537815,30.180521,31.814003,29.127319,29.155827,27.272699,27.187267,25.132267,27.071846,26.404884,25.53652,25.304893,26.373938
203.64987,222.00272,1049.9994,339.99274,292.12988,309.23831,370.422,340.89243,458.64154,498.26544,402.3194,203.36464,365.89056,391.15225,306.51971,92.232857,121.46368,184.47525,345.27368,398.93741,408.2019,328.50906,341.80069,244.13988,173.81334,235.91978,400.52191,173.11819,176.95581,173.51062,340.33603,134.77176,122.75909,255.19279,100.4453,103.16031,133.02321,146.58493,154.76952,131.04678,91.45269,100.94237,106.3316,101.99795,89.148041,88.345978,84.399628,69.6604,80.870743,76.774765,68.599159,62.265224,67.085945,58.452412,58.92453,59.338371,57.622242,57.2202,44.424778,43.600243,41.68919,43.971771,42.208237,38.104923,38.353386,33.718815,37.256512,30.944946,33.862339,31.856318,31.959635,31.236748,29.700296,30.75403,28.514278,26.636482,27.081442,29.440418,25.858671,26.948875,26.138493,25.508455,27.481731,25.507292,22.107607,24.158323
110.52946,104.59148,947.87701,388.10046,402.73676,164.35353,377.11172,204.21992,358.91937,422.83371,546.87158,384.0145,617.23871,605.46222,608.38837,254.58765,336.34348,247.91652,329.94623,210.08327,513.30023,450.11493,270.08472,255.4467,312.48099,202.87996,311.05371,212.8327,135.9055,259.57291,254.69214,146.80911,150.05814,177.70903,97.073051,97.504654,131.76421,139.70824,108.49258,85.068604,105.91158,99.704689,110.78967,75.887962,85.98774,71.434242,78.07048,75.676971,80.687675,77.306679,63.882401,72.558525,69.296997,60.639153,47.760029,56.505833,54.399483,45.781078,43.233063,41.101158,36.296894,32.680008,33.239799,33.862087,30.670784,35.559635,30.508469,29.977577,30.689314,30.13257,30.227499,31.241587,30.411905,27.66972,28.699049,27.221272,28.16276,25.544027,25.83308,25.242447,23.563374,26.25149,23.982113,23.852625,24.117228,24.514418
313.12909,312.7334,846.59644,384.61575,440.79932,283.56558,330.47952,179.4248,380.32794,523.58032,252.61377,314.78018,210.06538,384.52115,431.72733,203.52475,243.07411,245.73184,518.58893,183.12282,634.56012,343.49701,250.03053,282.8027,211.05841,246.3087,299.47226,157.19678,150.34961,194.60899,339.18051,171.0507,145.65102,175.19225,108.47524,129.18932,92.731079,143.31816,119.58717,115.40632,117.73401,113.99182,89.193306,89.643333,73.973595,95.280823,79.964378,86.090759,92.387115,84.137329,57.86166,71.762711,69.603012,56.149643,61.018166,57.705612,57.341713,53.467392,46.490112,51.150322,47.460159,41.975544,39.347542,39.816879,35.229382,35.540199,33.121529,35.548759,30.854332,34.303825,34.295212,33.97834,28.987736,30.960691,28.201305,33.71582,32.644585,28.225325,27.527569,25.88685,26.236273,28.307371,26.420448,24.9769,24.310968,23.678738
249.74171,326.40579,904.6604,354.82449,299.73965,143.15422,190.41872,160.56915,342.46869,265.017,598.24536,270.80988,409.14008,295.04657,564.71368,203.62364,361.98068,286.43454,623.01361,374.72626,436.14301,375.07648,334.03076,312.63483,218.12653,283.09589,378.43213,175.76917,142.55957,242.20282,240.73123,104.06521,185.04208,199.56531,133.57098,131.02246,129.87903,147.46169,129.3949,132.21069,92.622314,75.488853,100.80872,107.6105,108.5066,66.318459,84.267319,80.468369,87.783699,74.246582,65.640694,72.527596,69.324577,55.168266,57.512112,54.654366,56.412502,45.980568,41.405659,47.705296,45.456192,37.990158,37.459736,38.806469,30.501045,32.41853,32.86491,29.619375,34.071671,28.479151,34.299919,28.896149,33.011074,28.842575,31.58285,29.31286,26.613926,27.616549,29.109715,28.132832,23.472988,26.199869,25.836983,25.887407,25.05278,24.670208
222.16116,232.55557,708.72723,329.69803,399.13327,433.44217,182.49307,135.2621,425.50275,293.009,490.88791,188.17751,313.58817,237.1833,509.82224,321.91486,330.35873,179.08205,488.94507,300.5802,461.29895,391.827,393.24438,296.17126,273.39978,240.37662,375.25647,202.5052,247.37671,181.21481,318.26877,115.76857,150.42133,215.04289,153.33543,100.34798,112.05948,131.53581,114.26633,104.19833,103.49359,104.01319,86.966866,93.832184,95.20031,79.035591,73.188583,83.581352,97.011719,78.089165,68.289452,83.739258,67.514137,67.558525,54.206181,60.539589,53.604004,50.554031,49.453064,37.315403,47.688656,41.456326,37.217556,38.634583,35.534798,33.016651,33.175236,31.62199,30.949152,32.916225,29.480623,28.850149,29.341377,30.934587,28.000578,29.923414,29.735455,26.40029,28.237774,28.764526,26.534012,27.965332,26.805141,26.093901,25.599064,27.433601
169.94237,133.29935,861.03882,189.65402,134.27628,149.43298,258.84293,183.18777,403.97748,292.47366,308.44025,226.10832,269.33115,257.7005,571.43262,258.04141,474.31009,362.87772,396.13281,383.46869,600.71667,450.2847,246.34663,570.27307,322.16354,293.86026,292.1763,164.69719,139.45934,146.83398,204.62344,147.02486,129.4713,155.35406,107.16316,132.93864,86.297356,88.5299,128.13739,87.376488,132.08124,102.1269,101.21874,93.57608,102.0996,84.958862,81.684296,68.118538,97.556099,80.804108,64.743004,71.217758,66.522003,62.397285,57.331154,54.646248,58.62513,50.544682,48.460014,45.34713,43.736015,39.388622,35.755669,37.612942,31.533859,34.26339,31.710775,28.918129,28.311329,29.460329,31.145582,35.402702,29.341698,28.422401,28.746603,27.72197,28.606993,26.321358,26.75033,25.950357,24.204279,25.629234,23.321941,25.06937,23.979362,25.332905
303.48438,228.73544,843.06738,381.1731,273.41611,175.36482,165.66248,175.60223,255.76369,314.87729,507.17633,370.01974,224.7238,369.35495,483.29526,198.49202,289.62057,339.07092,429.04321,617.36487,406.19705,345.70529,247.60417,256.38962,462.06833,319.3316,326.42334,219.00433,132.02805,167.60629,240.11737,155.24788,170.88953,148.4263,162.88853,133.14799,117.47305,124.89893,132.40002,123.77175,116.89608,94.161522,100.72265,78.426933,100.96925,94.497406,71.586411,75.443184,86.135551,75.364655,68.571548,74.220932,63.402988,56.873428,72.289963,59.472157,58.664913,46.899513,50.600327,49.270496,42.393002,47.445175,41.683891,42.527615,34.837994,35.288807,35.090202,33.112343,33.462589,33.868076,34.573429,31.309225,29.762888,28.492086,30.258612,29.404732,27.721981,30.51107,26.725744,29.648611,26.975218,27.529449,26.380747,25.714983,25.731638,25.050987
