A0,A#0,B0,C0,C#0,D0,D#0,E0,F0,F#0,G0,G#0,A1,A#1,B1,C1,C#1,D1,D#1,E1,F1,F#1,G1,G#1,A2,A#2,B2,C2,C#2,D2,D#2,E2,F2,F#2,G2,G#2,A3,A#3,B3,C3,C#3,D3,D#3,E3,F3,F#3,G3,G#3,A4,A#4,B4,C4,C#4,D4,D#4,E4,F4,F#4,G4,G#4,A5,A#5,B5,C5,C#5,D5,D#5,E5,F5,F#5,G5,G#5,A6,A#6,B6,C6,C#6,D6,D#6,E6,F6,F#6,G6,G#6,A7,A#7,B7
461.735,283.561,1128.47,459.902,1043.91,751.191,1675.18,807.662,650.276,501.771,492.746,359.596,533.589,299.166,534.758,405.857,346.179,715.035,583.729,612.032,622.778,1094.61,1246.65,1538.24,3463.05,573.38,503.813,246.559,275.065,222.861,402.788,612.207,340.085,260.771,213.056,457.617,627.235,229.848,249.349,235.917,208.771,206.315,105.973,133.585,118.969,126.422,103.648,113.278,111.549,76.9711,73.3187,100.895,61.4841,80.8326,71.9202,62.5771,60.9683,58.8296,55.1445,61.3378,54.8237,53.1018,61.9265,51.2976,55.0777,48.1584,48.8792,43.0193,57.6937,46.7496,42.3288,41.7907,41.9296,43.037,35.9416,41.8037,33.0851,35.3511,33.6311,34.0266,29.4644,31.9814,28.8904,27.0265,26.6288,26.6463,
1077.54,370.89,713.51,418.166,839.422,676.42,672.6,756.272,735.081,339.031,303.329,315.573,462.733,394.402,648.317,302.193,453.565,473.865,414.861,443.623,472.829,730.682,1289.29,1458.89,758.807,369.084,384.616,216.317,233.687,107.441,433.372,240.377,235.75,212.33,359.095,649.305,399.551,236.087,175.309,163.751,198.573,114.566,170.12,117.062,127.719,116.131,113.714,106.23,86.3713,91.5782,89.2822,71.0999,71.5089,70.1144,66.3568,68.6932,71.8818,73.0424,57.1639,59.2114,61.6601,60.3746,49.2963,46.9856,52.5299,50.8707,48.1461,44.6603,41.8106,41.4823,44.0965,41.0862,36.0617,33.755,32.828,31.5228,31.0755,31.9725,29.1917,28.4211,27.2402,25.6839,26.7942,24.7808,25.7718,24.109,
435.018,383.22,1216.25,824.638,351.51,714.898,941.206,917.563,417.616,454.533,352.061,257.642,227.451,350.755,620.076,413.702,395.866,321.945,377.589,338.021,284.8,733.228,1024.74,1250.51,877.555,356.459,284.824,131.635,272.517,236.711,275.104,243.923,218.701,247.98,314.1,463.893,430.08,255.916,184.959,167.656,169.777,176.875,103.603,102.717,104.856,116.593,94.2332,87.4352,94.676,82.7355,79.4627,69.6573,69.5115,84.9808,78.5709,73.2188,69.0721,62.5596,58.9916,60.9224,58.6578,56.4845,60.448,47.3629,43.0892,45.6267,39.3479,38.9571,40.1759,34.373,37.2251,33.6328,33.2288,29.5483,30.8091,29.4407,29.7833,27.2231,27.3801,26.3719,27.9015,24.2299,26.4655,24.3035,24.1734,23.5581,
433.95,364.901,810.489,673.661,513.513,895.183,939.537,636.423,493.886,357.382,203.299,354.702,403.264,243.354,411.672,263.966,273.098,545.272,364.333,421.883,496.86,872.51,1292.76,1094.06,376.699,399.023,335.762,156.694,249.592,151.136,273.818,196.136,306.431,222.898,383.993,349.143,220.197,127.982,177.925,134.389,185.66,130.456,115.102,116.46,93.101,95.9718,96.5304,128.894,92.9868,88.1179,82.3651,76.9533,55.302,88.2922,73.4204,67.9621,64.0782,66.8513,65.8749,55.9035,49.0203,51.2102,48.0651,44.0797,45.7667,42.5002,46.5528,40.2545,37.656,39.06,34.027,32.6115,31.2378,32.4488,29.6366,31.9917,28.8872,28.2108,25.996,26.1663,26.2476,25.8022,25.3823,22.6582,22.1871,21.7432,
491.932,337.907,950.219,468.849,816.991,565.483,918.767,786.42,467.722,458.937,356.203,355.04,412.822,348.014,361.508,313.835,331.526,557.271,562.658,535.666,534.504,765.64,1170.64,877.345,340.696,352.71,389.85,250.569,177.812,141.106,250.049,269.819,204.916,237.232,175.548,224.791,209.083,133.926,131.707,179.937,136.605,123.642,107.006,110.78,120.89,105.667,82.9596,86.3678,78.8376,75.8685,65.1681,70.9239,73.3496,73.1573,56.6307,57.6016,63.3826,50.2554,50.2801,52.0779,45.3683,38.9972,45.6932,37.4872,33.2253,34.2267,28.8945,30.0693,30.278,26.6825,26.5712,27.0449,26.4904,26.1592,26.2842,25.186,25.7709,24.0929,23.4326,23.5403,23.6255,21.2839,21.8718,22.5567,21.5787,20.7539,
531.119,252.976,999.3,828.72,423.767,576.909,960.216,918.517,704.67,235.099,555.126,332.161,487.133,246.496,424.675,259.8,245.648,543.096,462.596,481.945,489.185,809.107,589.742,815.857,540.429,197.809,262.437,160.654,239.396,143.977,242.144,323.469,170.949,190.976,174.757,245.793,299.383,142.842,155.349,141.811,158.54,118.515,92.065,109.449,113.224,94.2391,82.1167,77.6132,90.4012,83.5368,95.9891,74.2139,68.5199,55.8109,70.8196,60.2958,79.4815,50.9446,54.122,51.1451,47.5933,45.3932,44.7011,40.2582,33.6138,33.3694,36.7358,32.3983,32.9062,34.2774,29.29,29.975,30.2157,26.6417,27.9784,27.4566,25.3244,27.9867,24.2176,26.0794,24.1947,24.0191,24.2093,21.6907,22.5251,21.4547,
406.401,404.871,741.49,550.485,356.601,840.123,809.119,595.568,600.06,318.438,83.4574,385.147,272.783,358.35,557.245,239.976,278.141,533.562,493.2,480.711,473.727,648.654,672.813,907.318,576.28,245.107,209.612,211.762,188.257,189.767,244.163,154.527,187.127,157.936,129.449,221.191,219.772,133.667,122.397,105.311,112.946,160.137,78.4959,77.437,104.598,92.2489,78.6551,78.5796,92.749,76.5034,132.206,67.468,51.6336,62.5311,67.628,76.7284,70.4768,58.628,51.3402,50.037,49.6363,50.5359,45.4477,38.4792,40.4796,41.6399,40.7968,43.001,37.8718,31.0389,35.8721,34.7282,31.3626,30.1896,27.2374,29.5593,26.3494,26.7618,25.3313,26.3184,23.9543,25.5705,23.4056,21.033,23.7863,22.261,
1020.42,333.958,626.198,440.012,484.472,482.172,446.423,1475.03,375.071,250.811,198.813,213.801,182.375,334.871,336.674,303.569,291.53,453.784,318.312,351.156,387.597,445.326,969.17,498.005,379.639,310.059,364.288,165.62,93.1333,134.659,191.409,176.391,135.387,162.739,196.975,213.64,200.12,99.9704,158.1,112.439,143.414,90.149,88.7163,71.5473,105.915,98.6589,91.7985,77.6765,83.7355,81.2195,89.3523,72.0566,64.8148,55.2968,57.6331,57.6131,51.3352,53.3504,40.0411,50.3428,44.1728,45.1458,44.4714,35.9098,32.5263,35.8844,38.4322,36.1665,30.1663,29.8953,31.3321,26.9529,27.0486,28.177,26.6896,27.0742,25.5292,26.2339,24.3592,25.8629,26.7364,23.2551,24.1476,21.6778,21.5864,21.7459,
519.786,316.683,957.635,714.09,566.919,763.997,696.335,1313.9,433.041,305.777,209.527,405.111,368.831,265.962,528.875,356.981,273.566,429.249,273.267,337.391,404.937,515.634,597.15,526.755,497.524,259.816,257.525,271.453,213.101,141.804,249.797,141.396,164.311,167.626,146.912,200.192,188.247,141.678,118.578,104.199,128.643,127.1,86.8843,80.5262,102.573,98.8575,91.8088,78.1941,64.6592,68.7232,77.827,71.2598,60.4563,59.5671,54.859,73.1806,68.2331,54.081,50.653,48.3512,39.9433,36.5091,46.4062,39.7385,41.3475,39.7053,36.4721,37.5116,33.3081,33.9244,33.5697,30.7347,29.2654,27.8714,26.4065,26.4421,26.5133,26.2378,26.4288,27.239,23.5545,24.9236,24.923,21.3263,21.8865,22.0347,
780.864,612.849,937.281,362.879,497.349,480.306,432.213,981.892,322.244,460.436,427.436,341.389,198.257,421.352,571.74,254.491,253.508,519.86,231.326,348.491,477.817,563.047,868.108,1147.34,580.154,507.671,281.301,165.666,247.593,91.9338,238.843,221.98,157.636,163.474,164.753,231.429,127.197,106.288,116.34,125.223,116.768,103.91,111.771,87.984,80.9678,92.3876,80.3374,68.7919,77.4072,79.5673,71.4604,69.2669,64.8921,60.1889,55.8606,68.0214,80.0969,53.2589,50.4539,47.6249,48.0414,45.3474,48.5403,44.9648,38.6226,35.9474,40.7396,38.8636,37.0421,33.1196,32.9432,31.277,29.5812,30.9402,26.9292,31.4163,29.3067,29.2361,29.5632,26.2229,25.6289,25.5635,23.5959,22.3764,23.3605,22.9292,
